r, Channel 1, Channel 2
5.49, 0.0963628, 0.0188845
5.5, 0.0963954, 0.0190157
5.51, 0.0963632, 0.0191346
5.52, 0.0962662, 0.0192411
5.53, 0.0961042, 0.0193351
5.54, 0.0958774, 0.0194165
5.55, 0.0955859, 0.0194853
5.56, 0.0952297, 0.0195413
5.57, 0.094809, 0.0195847
5.58, 0.094324, 0.0196151
5.59, 0.093775, 0.0196328
5.6, 0.0931622, 0.0196375
5.61, 0.092486, 0.0196293
5.62, 0.0917466, 0.0196081
5.63, 0.0909444, 0.019574
5.64, 0.09008, 0.019527
5.65, 0.0891536, 0.019467
5.66, 0.0881659, 0.019394
5.67, 0.0871173, 0.0193081
5.68, 0.0860085, 0.0192093
5.69, 0.0848399, 0.0190976
5.7, 0.0836122, 0.0189731
5.71, 0.0823262, 0.0188358
5.72, 0.0809823, 0.0186858
5.73, 0.0795815, 0.0185231
5.74, 0.0781245, 0.0183478
5.75, 0.0766119, 0.01816
5.76, 0.0750447, 0.0179597
5.77, 0.0734238, 0.0177471
5.78, 0.0717498, 0.0175222
5.79, 0.0700239, 0.0172852
5.8, 0.0682468, 0.0170361
5.81, 0.0664196, 0.0167751
5.82, 0.0645433, 0.0165023
5.83, 0.0626187, 0.0162178
5.84, 0.0606471, 0.0159218
5.85, 0.0586294, 0.0156144
5.86, 0.0565667, 0.0152957
5.87, 0.0544601, 0.0149659
5.88, 0.0523107, 0.0146252
5.89, 0.0501198, 0.0142738
5.9, 0.0478884, 0.0139117
5.91, 0.0456177, 0.0135392
5.92, 0.0433089, 0.0131564
5.93, 0.0409633, 0.0127636
5.94, 0.0385822, 0.0123609
5.95, 0.0361666, 0.0119486
5.96, 0.033718, 0.0115268
5.97, 0.0312377, 0.0110957
5.98, 0.0287268, 0.0106556
5.99, 0.0261868, 0.0102066
6, 0.0236189, 0.00974906
6.01, 0.0210245, 0.00928312
6.02, 0.018405, 0.00880901
6.03, 0.0157617, 0.00832699
6.04, 0.013096, 0.00783727
6.05, 0.0104092, 0.00734011
6.06, 0.00770278, 0.00683574
6.07, 0.00497809, 0.00632442
6.08, 0.00223654, 0.00580639
6.09, -0.000520463, 0.0052819
6.1, -0.00329151, 0.00475122
6.11, -0.0060752, 0.0042146
6.12, -0.0088701, 0.0036723
6.13, -0.0116748, 0.0031246
6.14, -0.0144879, 0.00257174
6.15, -0.0173079, 0.00201401
6.16, -0.0201335, 0.00145168
6.17, -0.0229632, 0.000885012
6.18, -0.0257955, 0.000314286
6.19, -0.0286292, -0.000260222
6.2, -0.0314627, -0.000838234
6.21, -0.0342947, -0.00141947
6.22, -0.0371237, -0.00200366
6.23, -0.0399484, -0.0025905
6.24, -0.0427673, -0.00317973
6.25, -0.0455791, -0.00377107
6.26, -0.0483824, -0.00436421
6.27, -0.0511759, -0.0049589
6.28, -0.053958, -0.00555483
6.29, -0.0567276, -0.00615173
6.3, -0.0594833, -0.00674931
6.31, -0.0622237, -0.00734728
6.32, -0.0649474, -0.00794538
6.33, -0.0676533, -0.00854331
6.34, -0.07034, -0.00914079
6.35, -0.0730062, -0.00973753
6.36, -0.0756507, -0.0103333
